0,"Good day, everyone.",0,0,1391148,0,0,0,0,19,,,,,,,
1,We will now begin our conference.,0,0,1391148,0,19,1,1,33,,,,,,,
2,"I would like to turn the conference over to our moderator, Mr.",0,0,1391148,0,52,2,2,62,,,,,,,
3,SY Chung of Daiwa Capital Markets Korea.,0,0,1391148,0,114,3,3,40,,,,,,,
4,Good evening.,1,1,1391148,1,0,0,0,13,,,,,,,
5,"This is SY Chung, the Korea auto analyst from Daiwa Capital Markets.",1,1,1391148,1,13,1,1,68,,,,,,,
6,"Basically, Hyundai Motor Co.",1,1,1391148,1,81,2,2,28,,,,,,,
7,"reported its first K-IFRS results yesterday, which we think was pretty superb.",1,1,1391148,1,109,3,3,78,,,,,,,
8,Let's hear more about it from Hyundai Motor Co.,1,1,1391148,1,187,4,4,47,,,,,,,
9,and let me hand this over to Mr.,1,1,1391148,1,234,5,5,32,,,,,,,
10,Kang at Hyundai Motor Co.,1,1,1391148,1,266,6,6,25,,,,,,,
11,Mr.,1,1,1391148,1,291,7,7,3,,,,,,,
12,Kang?,1,1,1391148,1,294,8,8,5,,,,,,,
13,Hi.,2,2,1391148,2,0,0,0,3,,,,,,,
14,"First of all, thank you very much for joining us today for our Conference Call of 2011 Business Result of Hyundai Motor Co.",2,2,1391148,2,3,1,1,123,,,,,,,
15,"So, this presentation will be begin with a brief explanation of those results of 2011 first quarter.",2,2,1391148,2,126,2,2,100,,,,,,,
16,"And after that, I will go on more details of business results.",2,2,1391148,2,226,3,3,62,,,,,,,
17,"So, let me start with Page number 5, the sales summary.",3,2,1391148,2,0,0,4,55,,,,,,,
18,The total global retail sales volume in first quarter 2011 increased by 10% against last year's first quarter.,3,2,1391148,2,55,1,5,110,,,,,,,
19,"And the total sales recorded 914,000 units.",3,2,1391148,2,165,2,6,43,,,,,,,
20,And in domestic markets the number of unit sales slightly decreased by 0.8% due to high base effect from last year's remarkable growth.,3,2,1391148,2,208,3,7,135,,,,,,,
21,"And in overseas market, the sales there increased by 12.8% to 747,000 units.",4,2,1391148,2,0,0,8,76,,,,,,,
22,And the increase reflected improvement of brand value and the product's strength.,4,2,1391148,2,76,1,9,81,,,,,,,
23,And while the sales growth in U.S.,4,2,1391148,2,157,2,10,34,,,,,,,
24,"market and Chinese market led the overseas growth, our sales in rest of the other markets also increased by 4.7% and despite the unstable situation in Middle East and Africa.",4,2,1391148,2,191,3,11,174,,,,,,,
25,"And I'm going to move to the next page, the sales results by key region.",5,2,1391148,2,0,0,12,72,,,,,,,
26,"Despite introduction of a new Grandeur and new Accent in first quarter, the Korean market slightly decreased by 0.8% due to keen competitions in the market, and the total sales in Korean market was 167,000 units.",5,2,1391148,2,72,1,13,212,,,,,,,
